codigo,descripcion,tipo_procedencia
FIE,Financiado por el Estado,Financiado por el Estado
SAI,Surgidos del área de influencia del CFS,Del área de influencia CFS
ALI,Surgido de alianzas estratégicas institucionales,Alianzas Estratégicas
GBC,Contextos comunitarios e institucionales,Gobierno de Calle
RFS,Requerimientos de formacion de los participantes al CFS,Requerimientos de Participantes
PEN,Penitenciario,Penitenciario
PNA,Programa Nacional de Aprendizaje,Programa Nac. de Aprendizaje
EMP,Formación en Empresa,Formación en Empresa
BAS,Educación Básica,Educación Básica
CNV,Convenios Internacionales,Convenios Internacionales
